NAME=Cool Muse,HARDWARE=INTERAXON-MUSE,FS=220,#CH=4,DATA=ffffi,PRESET=14,OSCPORT=5000,FILE=log20141210_195303.csv
A1,FP1,FP2,A2,STATUS
855.390,904.739,924.479,945.864,9.000
644.832,825.780,740.241,814.265,0.000
618.513,825.780,713.921,787.946,0.000
644.832,773.141,740.241,866.905,0.000
723.791,720.501,792.881,893.224,0.000
776.431,825.780,713.921,893.224,0.000
592.193,931.059,845.520,787.946,0.000
671.152,852.100,713.921,761.626,0.000
618.513,720.501,661.282,840.585,0.000
750.111,720.501,740.241,840.585,0.000
618.513,773.141,792.881,814.265,0.000
750.111,878.419,792.881,893.224,0.000
565.873,799.460,661.282,787.946,0.000
565.873,799.460,661.282,735.306,0.000
592.193,852.100,766.561,866.905,0.000
671.152,694.182,766.561,893.224,0.000
697.472,773.141,661.282,893.224,0.000
539.554,904.739,766.561,787.946,0.000
618.513,799.460,661.282,761.626,0.000
592.193,799.460,661.282,919.544,0.000
697.472,773.141,792.881,945.864,0.000
539.554,825.780,740.241,919.544,0.000
697.472,904.739,792.881,919.544,0.000
513.234,852.100,740.241,866.905,0.000
513.234,825.780,687.602,787.946,0.000
513.234,746.821,713.921,919.544,0.000
644.832,773.141,792.881,945.864,0.000
644.832,852.100,740.241,945.864,0.000
513.234,904.739,792.881,866.905,0.000
565.873,825.780,819.200,840.585,0.000
565.873,773.141,582.323,945.864,0.000
671.152,773.141,687.602,998.503,0.000
486.914,852.100,766.561,945.864,0.000
618.513,931.059,740.241,972.183,0.000
434.275,852.100,713.921,945.864,0.000
460.594,825.780,687.602,866.905,0.000
460.594,904.739,766.561,972.183,0.000
565.873,799.460,792.881,1024.823,0.000
539.554,825.780,661.282,998.503,0.000
486.914,957.379,740.241,919.544,0.000
513.234,825.780,687.602,919.544,0.000
513.234,799.460,634.962,1024.823,0.000
644.832,825.780,766.561,1051.142,0.000
486.914,878.419,819.200,972.183,0.000
592.193,931.059,766.561,972.183,0.000
460.594,773.141,634.962,972.183,0.000
486.914,799.460,687.602,893.224,0.000
460.594,825.780,766.561,1024.823,0.000
592.193,825.780,845.520,1051.142,0.000
486.914,878.419,759.981,972.183,0.000
407.955,931.059,740.241,919.544,0.000
460.594,825.780,727.081,919.544,0.000
513.234,825.780,687.602,1051.142,0.000
592.193,852.100,832.360,1130.101,0.000
407.955,931.059,825.780,1051.142,0.000
513.234,931.059,759.981,1051.142,0.000
434.275,825.780,766.561,1077.462,0.000
460.594,799.460,713.921,1024.823,0.000
407.955,983.698,884.999,1103.782,0.000
539.554,878.419,884.999,1156.421,0.000
434.275,878.419,674.442,1051.142,0.000
407.955,1010.018,759.981,1024.823,0.000
460.594,825.780,727.081,1024.823,0.000
486.914,825.780,746.821,1103.782,0.000
565.873,904.739,746.821,1156.421,0.000
407.955,1036.338,852.100,1024.823,0.000
486.914,1010.018,694.182,1024.823,0.000
381.635,852.100,615.223,1051.142,0.000
460.594,852.100,667.862,1024.823,0.000
407.955,852.100,720.501,1064.302,0.000
486.914,983.698,799.460,1169.581,0.000
381.635,983.698,667.862,1024.823,0.000
381.635,1036.338,667.862,985.343,0.000
434.275,983.698,667.862,1011.663,0.000
486.914,878.419,667.862,1103.782,0.000
565.873,1010.018,694.182,1143.261,0.000
381.635,1010.018,746.821,1011.663,0.000
460.594,1010.018,641.542,998.503,0.000
407.955,931.059,641.542,1064.302,0.000
486.914,878.419,667.862,1037.983,0.000
381.635,1010.018,720.501,1090.622,0.000
513.234,1010.018,759.981,1143.261,0.000
302.676,983.698,602.063,985.343,0.000
276.357,1010.018,588.903,959.024,0.000
328.996,904.739,615.223,985.343,0.000
434.275,904.739,628.383,1037.983,0.000
486.914,983.698,602.063,1064.302,0.000
302.676,1062.657,733.661,959.024,0.000
381.635,1010.018,615.223,932.704,0.000
355.316,825.780,457.305,985.343,0.000
434.275,852.100,523.104,985.343,0.000
328.996,904.739,654.702,985.343,0.000
434.275,983.698,667.862,1090.622,0.000
250.037,904.739,562.583,932.704,0.000
250.037,931.059,549.423,906.384,0.000
302.676,931.059,575.743,985.343,0.000
355.316,852.100,628.383,1064.302,0.000
434.275,993.568,628.383,1064.302,0.000
250.037,993.568,667.862,906.384,0.000
302.676,977.118,523.104,880.064,0.000
250.037,963.958,523.104,985.343,0.000
381.635,878.419,602.063,985.343,0.000
250.037,1019.888,602.063,985.343,0.000
381.635,1036.338,641.542,1037.983,0.000
197.398,970.538,523.104,959.024,0.000
197.398,980.408,483.624,906.384,0.000
223.717,927.769,562.583,1011.663,0.000
328.996,898.159,575.743,1037.983,0.000
355.316,1023.178,562.583,1037.983,0.000
197.398,1010.018,615.223,932.704,0.000
276.357,980.408,483.624,880.064,0.000
276.357,888.289,417.825,985.343,0.000
381.635,891.579,444.145,985.343,0.000
197.398,996.858,628.383,959.024,0.000
355.316,1023.178,575.743,1011.663,0.000
171.078,917.899,575.743,932.704,0.000
171.078,944.219,470.464,880.064,0.000
197.398,891.579,470.464,1011.663,0.000
302.676,891.579,549.423,1037.983,0.000
302.676,970.538,444.145,1037.983,0.000
197.398,1049.497,575.743,932.704,0.000
250.037,970.538,496.784,906.384,0.000
250.037,996.858,470.464,1011.663,0.000
381.635,917.899,602.063,1037.983,0.000
223.717,996.858,549.423,985.343,0.000
328.996,1049.497,549.423,1011.663,0.000
144.758,917.899,417.825,985.343,0.000
171.078,944.219,417.825,906.384,0.000
171.078,944.219,523.104,1037.983,0.000
822.490,758.336,893.224,917.899,0.000
796.170,896.514,866.905,891.579,0.000
664.572,896.514,866.905,812.620,0.000
690.892,791.236,787.946,812.620,0.000
690.892,732.016,735.306,944.219,0.000
796.170,751.756,787.946,996.858,0.000
611.933,889.934,919.544,944.219,0.000
743.531,909.674,866.905,944.219,0.000
611.933,797.815,761.626,944.219,0.000
638.252,758.336,761.626,838.940,0.000
638.252,745.176,840.585,1023.178,0.000
769.851,745.176,893.224,1023.178,0.000
717.211,712.276,735.306,970.538,0.000
638.252,903.094,840.585,917.899,0.000
690.892,764.916,814.265,917.899,0.000
717.211,725.436,761.626,1023.178,0.000
796.170,758.336,893.224,1075.817,0.000
638.252,810.975,906.384,944.219,0.000
717.211,863.615,866.905,944.219,0.000
611.933,758.336,853.745,944.219,0.000
